"vegetarianMenu","Tofu Scramble", "Tofu scrambled with bell peppers, onions, and spinach, served with whole grain toast"
"vegetarianMenu","Quinoa and Bean Salad", "A mix of quinoa, black beans, corn, and roasted vegetables, topped with a citrus vinaigrette"
"vegetarianMenu","Roasted Eggplant and Tomato Pasta", "Penne pasta with roasted eggplant, cherry tomatoes, and a creamy tomato sauce"
"vegetarianMenu","Grilled Portobello Mushroom Sandwich", "Grilled portobello mushroom with roasted red peppers, caramelized onions, and pesto mayonnaise on a whole grain bun"
"vegetarianMenu","Spicy Black Bean Tacos", "Black beans, corn, and red peppers seasoned with chili spices and served in corn tortillas with avocado salsa"
"vegetarianMenu","Roasted Vegetable and Hummus Wrap", "Roasted vegetables and hummus wrapped in a whole grain tortilla with lettuce and tomatoes"
"vegetarianMenu","Thai Red Curry with Tofu", "Tofu and vegetables in a flavorful red curry sauce with coconut milk, served over jasmine rice"
"vegetarianMenu","Butternut Squash and Kale Quiche", "A savory quiche with butternut squash, kale, and a creamy tofu filling, served with a side salad"
"vegetarianMenu","Chickpea and Spinach Curry", "Chickpeas and spinach simmered in a spicy curry sauce with coconut milk, served over basmati rice"
"vegetarianMenu","Grilled Vegetable and Pesto Pizza", "Whole grain pizza crust with grilled vegetables, pesto sauce, and vegan cheese"
