"supă","Supă de roșii", "O supă clasică de roșii făcută cu roșii coapte, ceapă și usturoi"
"supă","Minestrone", "O supă consistentă cu o varietate de legume, fasole și paste într-un bulion de roșii"
"supă","Supă de linte", "O supă plină de linte, legume și o combinație de mirodenii aromatice"
"supă","Supă de fasole neagră", "O supă condimentată făcută cu fasole neagră, porumb și ardei într-un bulion condimentat cu cumin și chili"
"supă","Supă de mazăre split", "O supă cremoasă făcută cu mazăre split și o varietate de legume"
"supă","Supă de dovleac Butternut", "O supă de dovleac Butternut cremoasă făcută cu dovleac coapt, ceapă și un strop de nucșoară"
"supă","Supă de ciuperci sălbatice", "O supă bogată și cremoasă făcută cu o varietate de ciuperci sălbatice și ierburi"
"supă","Supă de conopidă", "O supă cremoasă făcută cu conopidă coptă și un strop de nucșoară"
"supă","Supă de ardei roșu copt", "O supă cremoasă făcută cu ardei roșu copți, roșii și ceapă"
"supă","Supă de varză", "O supă consistentă făcută cu varză, fasole și o varietate de legume într-un bulion savuros"
